cell,rep,seed,r2_ci_low,r2_ci_high,chi2_ci_low,chi2_ci_high,ci_reliable,n_effective,base_converged,n_items_per_group,n_raters,n_categories,thresholds,trait_slope,rater_sd,mu_focal,dif_uniform,dif_nonuniform,po_violation,conditioner_reliability,n_items_focal,conditioner,block
1,2,40360704,0.0004215348173636627,0.010706268671220528,0.33616276810518103,8.85426031847633,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,3,40360705,3.5305032166515345e-06,0.0029238582274215045,0.0026705965879202727,2.186933909952157,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,4,40360706,3.909139516392537e-06,0.0020575622144838133,0.002979173019209917,1.4815760415975863,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,5,40360707,8.584664290548825e-05,0.007738009042378093,0.06798079131138247,6.02376112429379,True,199,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,6,40360708,2.7451179035074152e-05,0.0003941365086509881,0.018686082676618126,0.2722698549309451,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,7,40360709,2.376305393701958e-05,0.007051331886598715,0.016189666352153374,4.85869202020786,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,8,40360710,0.0003238132456963195,0.02070467112907637,0.23273180332709487,15.400462417915712,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,9,40360711,0.0014531177659569841,0.029820794696267958,0.9032610610455005,21.06904707643279,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,10,40360712,0.0005935959008120789,0.028408644015498887,0.27799664135603813,18.601081199150762,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,11,40360713,2.298408584453654e-05,0.004396691214789803,0.01704039497688504,3.4751818920315025,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,12,40360714,6.502829790775643e-05,0.00806660894175906,0.05001994139145252,6.490575084029402,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,13,40360715,6.253956644136361e-05,0.013028640213980432,0.04344222402017006,9.603396266714185,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,14,40360716,1.6490002915715635e-05,0.0072978181163109975,0.011533660048299293,5.555264732664506,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,15,40360717,2.0569862404870297e-05,0.012206601732712334,0.014767494797012573,8.805553086442048,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,16,40360718,3.989541243761062e-05,0.008098672887584715,0.028410898219357633,5.755425148342675,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,17,40360719,3.144701163303635e-05,0.001783631068158772,0.026328834031855743,1.3295804164429426,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,18,40360720,2.1780244223042622e-05,0.00503321639595617,0.015808649269221355,3.61136605508618,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,19,40360721,7.1655551195917855e-06,0.0003047507644445254,0.005417150707599006,0.23738160486049606,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,20,40360722,1.6359768228450303e-05,0.004533971089788806,0.011523199149259552,3.25622784913547,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,21,40360723,1.8620303624459174e-05,0.0003476254564832127,0.012455097207262133,0.24510140432463406,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,22,40360724,2.7443626903469316e-05,0.0032340812359996896,0.018399733352518894,2.1461052224507977,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,23,40360725,2.856757951381611e-05,0.009411923608284514,0.021375779914246974,6.78719736890942,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,24,40360726,0.0003074749057820075,0.015237742817518616,0.21227017344884322,10.843630710700552,True,199,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,25,40360727,5.598420979687128e-05,0.006146811070542261,0.03990744027646807,4.300986544643841,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,26,40360728,2.212007154967258e-08,9.310539199756982e-05,1.6345911211445443e-05,0.06043415446677652,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,27,40360729,5.204204801008634e-05,0.011417824181046485,0.033277672779520914,7.815289318799952,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
